stem	frequency	priority	dominant_section	dominant_count
d	1468	1321.2	Herbal	27.0
che	689	689.0	Recipes	1.0
ok	638	638.0	Herbal	2.0
qok	943	565.8	Recipes	3.0
she	521	355.2272727272727	Herbal	15.0
ched	582	320.1	Recipes	11.0
qot	347	297.4285714285714	Herbal	6.0
ch	889	296.3333333333333	Biological	1.0
s	407	294.7241379310345	Herbal	105.0
sh	411	261.54545454545456	Herbal	7.0
shed	457	243.73333333333332	Recipes	8.0
cth	234	234.0	Herbal	2.0
k	225	225.0	Herbal	3.0
chee	208	208.0	Herbal	1.0
ot	618	206.0	Herbal	2.0
oted	158	158.0	Biological	1.0
qokeed	287	156.54545454545453	Recipes	6.0
or	403	153.44351464435147	Herbal	91.0
qoked	264	150.85714285714286	Biological	4.0
chd	206	147.14285714285714	Herbal	5.0
chckh	144	144.0	Biological	1.0
ote	142	142.0	Herbal	1.0
r	254	134.47058823529412	Herbal	36.0
oked	128	128.0	Herbal	2.0
lk	115	115.0	Herbal	1.0
qoted	101	101.0	Recipes	3.0
oteed	105	90.0	Recipes	6.0
chok	88	88.0	Herbal	2.0
chcth	86	86.0	Herbal	2.0
qokch	80	80.0	Herbal	1.0
l	164	78.27272727272728	Recipes	21.0
shee	176	73.33333333333334	Herbal	5.0
sheed	87	72.5	Recipes	5.0
okeed	107	71.33333333333333	Biological	2.0
od	89	71.2	Herbal	4.0
chek	99	66.0	Herbal	2.0
cheed	63	63.0	Recipes	2.0
chk	63	63.0	Pharmaceutical	1.0
yk	93	62.0	Herbal	2.0
y	93	61.243902439024396	Herbal	54.0
lched	119	59.5	Biological	3.0
t	118	59.0	Herbal	1.0
keed	57	57.0	Biological	1.0
opched	56	56.0	Recipes	2.0
qod	70	50.0	Herbal	5.0
qokchd	59	47.2	Recipes	4.0
ked	46	46.0	Herbal	1.0
chot	68	45.33333333333333	Herbal	2.0
tch	45	45.0	Herbal	1.0
o	77	43.19512195121952	Herbal	23.0
