family_110	mapped_family_77	section	overlap
che-he-lc-oe	che-he-lc-oe	Herbal	1.0
ct-hc-ke	ct-hc-ke	Herbal	1.0
dc-dch-ee	dc-dch-ee	Herbal	1.0
ee-ke-oe-yk	ee-ke-oe-yk	Herbal	1.0
lc-yt	lc-yt	Herbal	1.0
ee-ke-ls-yk	ee-ke-ls-yk	Herbal	1.0
lc-ls-olc	lc-ls-olc	Herbal	1.0
ls-otc-tc-tch	ls-otc-tc-tch	Herbal	1.0
ke-ok-oke-yt	ke-ok-oke-yt	Herbal	1.0
chc-ct-hc-hct-yc-ych	chc-ct-hc-hct	Biological	0.6666666666666666
ls-tc-tch	ls-otc-tc-tch	Herbal	0.75
ke-ls-yk	ee-ke-ls-yk	Herbal	0.75
che-dc-dch-he-yt	che-he-yt	Astronomical	0.6
yk-yt	yk-yt	Recipes	1.0
oe-yt	oe-yk-yt	Pharmaceutical	0.6666666666666666
otc-tc-tch-yt	ls-otc-tc-tch	Herbal	0.6
ke-ls-ok-oke	ke-ok-oke	Pharmaceutical	0.75
ke-oe-ok-oke	ke-ok-oke	Pharmaceutical	0.75
oe-yk	oe-yk	Recipes	1.0
che-he-ok-yt	che-he-yt	Astronomical	0.75
ct-ok-qok	ok-qok	Herbal	0.6666666666666666
ee-he-oe	ee-he	Recipes	0.6666666666666666
ke-op	ke-op	Pharmaceutical	1.0
chc-ee-hc-he	chc-che-ee-hc-he	Astronomical	0.8
ee-he-ok	ee-he-ke-ok	Astronomical	0.75
oe-ok	ke-oe-ok	Recipes	0.6666666666666666
che-ee-he-yt	ee-he-yt	Astronomical	0.75
che-he-ke-lc-olc	che-he-ke	Astronomical	0.6
che-he-ke-oe	che-ee-he-ke-oe	Pharmaceutical	0.8
ct-hc-hct-he	chc-ct-hc-hct	Biological	0.6
ke-oe-yk	ke-oe-yk	Pharmaceutical	1.0
ke-ok-oke-tc-tch	ke-ok-oke	Pharmaceutical	0.6
ok-qok-yk	ok-qok	Herbal	0.6666666666666666
he-ke-ok-oke-qok	ke-ok-oke-qok	Astronomical	0.8
chc-che-ee-hc-he	chc-che-ee-hc-he	Astronomical	1.0
chc-ct-hc-hct-lc	chc-ct-hc-hct	Biological	0.8
chc-ct-hc-hct-tc-tch	chc-ct-hc-hct	Biological	0.6666666666666666
ct-ke	ct-hc-ke	Herbal	0.6666666666666666
dc-dch-ke-ok-oke	ke-ok-oke	Pharmaceutical	0.6
dc-dch-ke-yk	dc-dch-yk-ykc	Pharmaceutical	0.6
ee-he-yk	ee-he	Recipes	0.6666666666666666
oe-pc-qoe	oe-pc	Pharmaceutical	0.6666666666666666
ls-lsh-tc-tch	ls-otc-tc-tch	Herbal	0.6
chc-che-hc-he	chc-che-hc-he	Astronomical	1.0
chc-dc-dch-hc-he	chc-hc-he	Pharmaceutical	0.6
chc-hc-he-lc	chc-hc-lc-he	Astronomical	1.0
che-ee-he-ke-ok-oke-qok	ee-ke-ok-oke-qok	Astronomical	0.7142857142857143
che-ee-he-ke-yk	che-ee-he-ke-oe	Pharmaceutical	0.6666666666666666
dc-dch-ee-ke-ok-oke	ee-ke-ok-oke	Astronomical	0.6666666666666666
dc-dch-ee-oe	dc-dch-ee	Herbal	0.75
ee-he-ke-ls-lsh	ee-he-ke	Pharmaceutical	0.6
ee-he-ke-yk	ee-he-ke	Pharmaceutical	0.75
he-op-yt	he-yt	Pharmaceutical	0.6666666666666666
ee-ke-oe-ok-oke	ee-ke-ok-oke	Astronomical	0.8
dc-dch-yk-ykc	dc-dch-yk-ykc	Pharmaceutical	1.0
chc-hc-ke-ok-oke-qok	ke-ok-oke-qok	Astronomical	0.6666666666666666
che-ee-he-oe	che-ee-he-ke-oe	Pharmaceutical	0.8
ee-ke-ok-oke-yk-ykc	ee-ke-ok-oke	Astronomical	0.6666666666666666
ee-ke-pc	ee-ke	Recipes	0.6666666666666666
ee-otc-tc-tch	ls-otc-tc-tch	Herbal	0.6
he-lc	yt-he-lc	Pharmaceutical	0.6666666666666666
ee-ke-ok-oke-yt	ke-ok-oke-yt	Herbal	0.8
ee-ke-oe-qoe	ee-ke-oe-yk	Herbal	0.6
ok-otc-tc-tch	ok-otc-tc-tch	Astronomical	1.0
chc-hc-lc	chc-hc-lc	Pharmaceutical	1.0
che-ee-he-ke-oe	che-ee-he-ke-oe	Pharmaceutical	1.0
he-oe	he-ke-oe	Pharmaceutical	0.6666666666666666
ee-ke-ok-qok	ee-ke-ok-oke-qok	Astronomical	0.8
oe-pc	oe-pc	Pharmaceutical	1.0
dc-dch-yk	dc-dch-yk-ykc	Pharmaceutical	0.75
ee-he-op	ee-he	Recipes	0.6666666666666666
ke-op-yk	ke-op	Pharmaceutical	0.6666666666666666
ok-op-qok	ok-qok	Herbal	0.6666666666666666
ok-tc-tch	ok-otc-tc-tch	Astronomical	0.75
ke-oe-qoe	ke-oe	Recipes	0.6666666666666666
chc-ct-hc-hct-lc-olc	chc-ct-hc-hct	Biological	0.6666666666666666
che-he-ke-yk	che-he-ke	Astronomical	0.75
ee-he-ke-ok-oke	ee-ke-ok-oke	Astronomical	0.8
lc-ok-qok	ok-qok	Herbal	0.6666666666666666
che-he-ke-ok-oke-qok	ke-ok-oke-qok	Astronomical	0.6666666666666666
ct-pc	ct-pc	Pharmaceutical	1.0
ee-he-lc	ee-he	Recipes	0.6666666666666666
ok-qok-yt	ok-qok	Herbal	0.6666666666666666
che-he-oe	che-he-lc-oe	Herbal	0.75
ee-ke-oe	ee-ke-oe-yk	Herbal	0.75
he-yt	he-yt	Pharmaceutical	1.0
che-he-lc-ok	che-he-lc-oe	Herbal	0.6
che-hc-he-shc	chc-che-hc-he	Astronomical	0.6
ct-hc	ct-hc-ke	Herbal	0.6666666666666666
ct-otc-tc-tch	ls-otc-tc-tch	Herbal	0.6
che-he-yt	che-he-yt	Astronomical	1.0
ee-ke-oe-qoe-yk	ee-ke-oe-yk	Herbal	0.8
he-ke-ok-oke	ke-ok-oke	Pharmaceutical	0.75
che-ee-he-ke-ok-oke	ee-ke-ok-oke	Astronomical	0.6666666666666666
he-yk	he-yt-yk	Astronomical	0.6666666666666666
che-ee-he-ok	che-he-oe-ok	Pharmaceutical	0.6
ke-oe	ke-oe	Recipes	1.0
chc-ct-hc-hct-he	chc-ct-hc-hct	Biological	0.8
ee-he-ke	ee-he-ke	Pharmaceutical	1.0
che-he-ke-ok-oke	ke-ok-oke	Pharmaceutical	0.6
he-ok-qok	ok-qok	Herbal	0.6666666666666666
he-ke	ee-he-ke	Pharmaceutical	0.6666666666666666
che-dc-dch-ee-he	dc-dch-ee	Herbal	0.6
ct-ee-he	ee-he	Recipes	0.6666666666666666
che-ee-he-ke	che-ee-he-ke-oe	Pharmaceutical	0.8
che-ee-he-lc	che-he-lc-oe	Herbal	0.6
che-he-ke	che-he-ke	Astronomical	1.0
chc-hc-he	chc-hc-he	Pharmaceutical	1.0
ct-hc-hct-shc	chc-ct-hc-hct	Biological	0.6
lc-olc	lc-ls-olc	Herbal	0.6666666666666666
che-he-ok-qok	che-he-oe-ok	Pharmaceutical	0.6
che-he-ok	che-he-oe-ok	Pharmaceutical	0.75
yk-ykc	yk-ykc	Astronomical	1.0
ee-yt	ee-he-yt	Astronomical	0.6666666666666666
chc-ct-hc-hct	chc-ct-hc-hct	Biological	1.0
che-he-lc-olc	che-he-lc-oe	Herbal	0.6
ke-yk	ke-oe-yk	Pharmaceutical	0.6666666666666666
dc-dch	dc-dch-ee	Herbal	0.6666666666666666
ee-ke-yk	ee-ke-oe-yk	Herbal	0.75
chc-hc	chc-hc-lc	Pharmaceutical	0.6666666666666666
che-he-lc	che-he-lc-oe	Herbal	0.75
otc-tc-tch	ls-otc-tc-tch	Herbal	0.75
che-ee-he	ee-he	Recipes	0.6666666666666666
ee-he	ee-he	Recipes	1.0
ee-ke-ok-oke	ee-ke-ok-oke	Astronomical	1.0
ee-ke-ok-oke-qok	ee-ke-ok-oke-qok	Astronomical	1.0
ee-ke	ee-ke	Recipes	1.0
ke-ok-oke-qok	ke-ok-oke-qok	Astronomical	1.0
ke-ok-oke	ke-ok-oke	Pharmaceutical	1.0
ok-qok	ok-qok	Herbal	1.0
che-he	che-he-ke	Astronomical	0.6666666666666666
ke-ok	ke-ok	Recipes	1.0
