#pattern_type	pattern	count
prefix	s	3150
prefix	sh	2363
prefix	q	1633
prefix	a	1582
prefix	qo	1527
prefix	she	1502
prefix	l	1083
prefix	qot	946
prefix	t	766
prefix	ai	613
prefix	sho	552
prefix	p	457
prefix	aii	444
prefix	ar	427
prefix	al	410
prefix	sa	388
prefix	lk	376
prefix	r	351
prefix	so	275
prefix	y	256
prefix	lc	249
prefix	lch	249
prefix	qol	215
prefix	pc	208
prefix	pch	208
prefix	tc	203
prefix	sai	203
prefix	tch	202
prefix	ra	180
prefix	lke	178
prefix	te	172
prefix	to	163
prefix	lo	156
prefix	po	150
prefix	ta	138
prefix	e	124
prefix	lka	121
prefix	ls	114
prefix	sol	112
prefix	rai	102
prefix	f	100
prefix	lsh	98
prefix	qoc	96
prefix	qod	92
prefix	sar	90
prefix	am	87
prefix	sha	82
prefix	ro	80
prefix	shy	79
prefix	pol	79
prefix	ain	74
prefix	sal	72
prefix	air	70
prefix	tol	69
prefix	ys	68
prefix	ts	68
prefix	tsh	68
prefix	shd	68
prefix	yp	66
prefix	sor	61
prefix	tee	60
prefix	lol	58
prefix	ysh	57
prefix	ee	57
prefix	tai	57
prefix	fc	56
prefix	fch	56
prefix	ara	55
prefix	ted	55
prefix	qe	54
prefix	alo	48
prefix	yd	46
prefix	rc	46
prefix	rch	46
prefix	tar	45
prefix	teo	43
prefix	ypc	42
prefix	ld	42
prefix	sc	40
prefix	qoa	40
prefix	qof	39
prefix	aro	39
prefix	ps	38
prefix	shk	38
prefix	la	37
prefix	psh	36
prefix	sch	36
prefix	lor	36
prefix	rar	36
prefix	sy	34
prefix	pa	34
prefix	lt	33
prefix	ala	32
prefix	yda	31
prefix	alk	30
prefix	lkc	30
suffix	y	3782
suffix	dy	1821
suffix	n	1625
suffix	in	1596
suffix	r	1517
suffix	l	1482
suffix	edy	1252
suffix	iin	1179
suffix	ey	926
suffix	ol	845
suffix	ar	826
suffix	al	589
suffix	hey	479
suffix	or	459
suffix	hy	450
suffix	ain	407
suffix	eey	365
suffix	o	307
suffix	m	307
suffix	ody	274
suffix	s	273
suffix	am	236
suffix	hol	208
suffix	ir	202
suffix	eol	201
suffix	hdy	179
suffix	d	174
suffix	chy	171
suffix	air	158
suffix	hor	139
suffix	ty	135
suffix	ky	129
suffix	ly	129
suffix	qol	128
suffix	shy	117
suffix	ho	114
suffix	dar	113
suffix	eo	100
suffix	tar	98
suffix	eor	95
suffix	sho	94
suffix	ry	92
suffix	es	88
suffix	os	86
suffix	oty	81
suffix	tal	81
suffix	ldy	79
suffix	tol	76
suffix	dal	76
suffix	khy	76
suffix	heo	72
suffix	ed	69
suffix	sar	68
suffix	od	63
suffix	aly	63
suffix	lol	60
suffix	sol	56
suffix	ees	55
suffix	ral	55
suffix	eky	53
suffix	kar	52
suffix	lor	51
suffix	thy	50
suffix	ary	48
suffix	har	46
suffix	sy	45
suffix	sal	45
suffix	ear	44
suffix	om	43
suffix	sor	43
suffix	oly	43
suffix	tey	42
suffix	rol	42
suffix	rar	40
suffix	hed	40
suffix	iir	39
suffix	tor	39
suffix	ls	38
suffix	ram	38
suffix	eos	36
suffix	key	32
suffix	eal	32
suffix	lky	31
suffix	dam	30
