section	suffix	count	section_total	proportion_in_section	corpus_proportion	enrichment_ratio
Astronomical	NULL	187	483	0.38716356107660455	0.2533801300203406	1.527994957795326
Astronomical	aiin	19	483	0.039337474120082816	0.08499182387428708	0.4628383334644939
Astronomical	ain	3	483	0.006211180124223602	0.04530770151158617	0.13708883737205843
Astronomical	al	29	483	0.060041407867494824	0.04957524029832888	1.2111168298163295
Astronomical	am	12	483	0.024844720496894408	0.01842619550911339	1.3483369632437954
Astronomical	ody	30	483	0.062111801242236024	0.02488732899932198	2.4957198598502948
Astronomical	ol	19	483	0.039337474120082816	0.07944801180552787	0.4951347834401789
Astronomical	or	16	483	0.033126293995859216	0.043871894069317595	0.7550686994165255
Astronomical	y	168	483	0.34782608695652173	0.40011167391217645	0.869322515775605
Biological	NULL	1027	5781	0.17765092544542466	0.2533801300203406	0.7011241387837451
Biological	aiin	300	5781	0.05189413596263622	0.08499182387428708	0.6105779779404871
Biological	ain	388	5781	0.06711641584500952	0.04530770151158617	1.481346738100285
Biological	al	344	5781	0.05950527590382287	0.04957524029832888	1.2003023191766298
Biological	am	47	5781	0.008130081300813009	0.01842619550911339	0.441224087565551
Biological	ody	5	5781	0.0008649022660439371	0.02488732899932198	0.034752715571345565
Biological	ol	421	5781	0.0728247708008995	0.07944801180552787	0.9166342762504783
Biological	or	131	5781	0.02266043937035115	0.043871894069317595	0.5165138148480131
Biological	y	3118	5781	0.5393530531049991	0.40011167391217645	1.3480062899224126
Herbal	NULL	2252	8220	0.27396593673965935	0.2533801300203406	1.0812447555286446
Herbal	aiin	863	8220	0.10498783454987834	0.08499182387428708	1.2352698149549974
Herbal	ain	153	8220	0.018613138686131386	0.04530770151158617	0.41081622031458825
Herbal	al	346	8220	0.04209245742092457	0.04957524029832888	0.849062095667612
Herbal	am	189	8220	0.022992700729927006	0.01842619550911339	1.247826808228268
Herbal	ody	256	8220	0.031143552311435525	0.02488732899932198	1.2513818703599726
Herbal	ol	828	8220	0.10072992700729927	0.07944801180552787	1.267872218802216
Herbal	or	583	8220	0.07092457420924574	0.043871894069317595	1.6166289537712892
Herbal	y	2750	8220	0.33454987834549876	0.40011167391217645	0.8361412579502283
Pharmaceutical	NULL	353	1316	0.2682370820668693	0.2533801300203406	1.0586350320577071
Pharmaceutical	aiin	99	1316	0.07522796352583587	0.08499182387428708	0.8851200044501562
Pharmaceutical	ain	16	1316	0.0121580547112462	0.04530770151158617	0.2683441071963697
Pharmaceutical	al	40	1316	0.030395136778115502	0.04957524029832888	0.6131112344631455
Pharmaceutical	am	14	1316	0.010638297872340425	0.01842619550911339	0.5773464124527954
Pharmaceutical	ody	86	1316	0.06534954407294832	0.02488732899932198	2.62581589509781
Pharmaceutical	ol	267	1316	0.20288753799392098	0.07944801180552787	2.553714477972681
Pharmaceutical	or	115	1316	0.08738601823708207	0.043871894069317595	1.9918451229621443
Pharmaceutical	y	326	1316	0.24772036474164133	0.40011167391217645	0.6191280607224056
Recipes	NULL	2502	9159	0.2731739272846381	0.2533801300203406	1.078118979821774
Recipes	aiin	840	9159	0.09171306911234851	0.08499182387428708	1.0790810801754642
Recipes	ain	575	9159	0.06277977945190523	0.04530770151158617	1.385631523061285
Recipes	al	476	9159	0.051970739163664154	0.04957524029832888	1.0483204690672174
Recipes	am	198	9159	0.021618080576482148	0.01842619550911339	1.1732253989050583
Recipes	ody	236	9159	0.02576700513156458	0.02488732899932198	1.0353463456149339
Recipes	ol	443	9159	0.048367725734250466	0.07944801180552787	0.608797182397019
Recipes	or	248	9159	0.02707719183316956	0.043871894069317595	0.6171876643936912
Recipes	y	3641	9159	0.3975324817119773	0.40011167391217645	0.9935538191750805
Unassigned	NULL	32	114	0.2807017543859649	0.2533801300203406	1.1078285987280494
Unassigned	aiin	10	114	0.08771929824561403	0.08499182387428708	1.0320910206064198
Unassigned	ain	1	114	0.008771929824561403	0.04530770151158617	0.19360791944650357
Unassigned	al	8	114	0.07017543859649122	0.04957524029832888	1.4155340079885956
Unassigned	am	2	114	0.017543859649122806	0.01842619550911339	0.9521151363256626
Unassigned	ody	11	114	0.09649122807017543	0.02488732899932198	3.877122694556905
Unassigned	ol	14	114	0.12280701754385964	0.07944801180552787	1.5457531881913618
Unassigned	or	7	114	0.06140350877192982	0.043871894069317595	1.3996092503987239
Unassigned	y	29	114	0.2543859649122807	0.40011167391217645	0.6357874101122024
