suffix	Astronomical	Biological	Herbal	Pharmaceutical	Recipes	Unassigned
NULL	0.38716356107660455	0.17765092544542466	0.27396593673965935	0.2682370820668693	0.2731739272846381	0.2807017543859649
aiin	0.039337474120082816	0.05189413596263622	0.10498783454987834	0.07522796352583587	0.09171306911234851	0.08771929824561403
ain	0.006211180124223602	0.06711641584500952	0.018613138686131386	0.0121580547112462	0.06277977945190523	0.008771929824561403
al	0.060041407867494824	0.05950527590382287	0.04209245742092457	0.030395136778115502	0.051970739163664154	0.07017543859649122
am	0.024844720496894408	0.008130081300813009	0.022992700729927006	0.010638297872340425	0.021618080576482148	0.017543859649122806
ody	0.062111801242236024	0.0008649022660439371	0.031143552311435525	0.06534954407294832	0.02576700513156458	0.09649122807017543
ol	0.039337474120082816	0.0728247708008995	0.10072992700729927	0.20288753799392098	0.048367725734250466	0.12280701754385964
or	0.033126293995859216	0.02266043937035115	0.07092457420924574	0.08738601823708207	0.02707719183316956	0.06140350877192982
y	0.34782608695652173	0.5393530531049991	0.33454987834549876	0.24772036474164133	0.3975324817119773	0.2543859649122807
