suffix1	suffix2	observed	expected	ratio	freq1	freq2
al	am	136	124.0	1.096774193548387	186	150
ain	am	109	102.00000000000001	1.068627450980392	153	150
ain	al	132	126.48	1.0436432637571158	153	186
ain	or	144	140.76000000000002	1.023017902813299	153	207
aiin	ain	150	147.56000000000003	1.016535646516671	217	153
ol	or	201	197.8	1.0161779575328613	215	207
aiin	al	181	179.38666666666666	1.008993607848967	217	186
al	ol	179	177.73333333333332	1.007126781695424	186	215
aiin	or	201	199.64000000000001	1.006812262071729	217	207
am	ody	116	115.33333333333331	1.0057803468208095	150	173
ain	ol	147	146.20000000000002	1.0054719562243501	153	215
am	ol	144	143.33333333333334	1.0046511627906975	150	215
NULL	y	224	223.00444444444443	1.0044642857142858	224	224
ody	y	173	172.2311111111111	1.0044642857142858	173	224
NULL	ody	173	172.2311111111111	1.0044642857142858	224	173
ain	y	153	152.32	1.0044642857142858	153	224
NULL	ain	153	152.32	1.0044642857142858	224	153
al	y	186	185.17333333333335	1.0044642857142856	186	224
ol	y	215	214.04444444444445	1.0044642857142856	215	224
NULL	aiin	217	216.03555555555556	1.0044642857142856	224	217
aiin	y	217	216.03555555555556	1.0044642857142856	217	224
NULL	or	207	206.08	1.0044642857142856	224	207
NULL	ol	215	214.04444444444445	1.0044642857142856	224	215
NULL	al	186	185.17333333333335	1.0044642857142856	224	186
or	y	207	206.08	1.0044642857142856	207	224
aiin	ol	208	207.35555555555558	1.003107919837102	217	215
aiin	ody	167	166.84888888888887	1.0009056764604034	217	173
al	ody	143	143.01333333333332	0.9999067685996644	186	173
al	or	171	171.12	0.9992987377279102	186	207
ody	ol	165	165.3111111111111	0.9981180266164807	173	215
am	y	149	149.33333333333334	0.9977678571428571	150	224
NULL	am	149	149.33333333333334	0.9977678571428571	224	150
aiin	am	144	144.66666666666666	0.9953917050691244	217	150
ody	or	157	159.16	0.9864287509424479	173	207
am	or	135	138.0	0.9782608695652174	150	207
ain	ody	115	117.64	0.9775586535192111	153	173
