	NULL	aiin	ain	al	am	ody	ol	or	y
NULL	0.0	1.0044642857142856	1.0044642857142858	1.0044642857142856	0.9977678571428571	1.0044642857142858	1.0044642857142856	1.0044642857142856	1.0044642857142858
aiin	1.0044642857142856	0.0	1.016535646516671	1.008993607848967	0.9953917050691244	1.0009056764604034	1.003107919837102	1.006812262071729	1.0044642857142856
ain	1.0044642857142858	1.016535646516671	0.0	1.0436432637571158	1.068627450980392	0.9775586535192111	1.0054719562243501	1.023017902813299	1.0044642857142858
al	1.0044642857142856	1.008993607848967	1.0436432637571158	0.0	1.096774193548387	0.9999067685996644	1.007126781695424	0.9992987377279102	1.0044642857142856
am	0.9977678571428571	0.9953917050691244	1.068627450980392	1.096774193548387	0.0	1.0057803468208095	1.0046511627906975	0.9782608695652174	0.9977678571428571
ody	1.0044642857142858	1.0009056764604034	0.9775586535192111	0.9999067685996644	1.0057803468208095	0.0	0.9981180266164807	0.9864287509424479	1.0044642857142858
ol	1.0044642857142856	1.003107919837102	1.0054719562243501	1.007126781695424	1.0046511627906975	0.9981180266164807	0.0	1.0161779575328613	1.0044642857142856
or	1.0044642857142856	1.006812262071729	1.023017902813299	0.9992987377279102	0.9782608695652174	0.9864287509424479	1.0161779575328613	0.0	1.0044642857142856
y	1.0044642857142858	1.0044642857142856	1.0044642857142858	1.0044642857142856	0.9977678571428571	1.0044642857142858	1.0044642857142856	1.0044642857142856	0.0
