stem	total	suffix_NULL	suffix_aiin	suffix_ain	suffix_al	suffix_am	suffix_ody	suffix_ol	suffix_or	suffix_y
d	1468	32	619	139	230	83	5	95	46	219
qok	943	5	230	251	172	25	9	90	29	132
ch	889	4	40	16	43	18	87	359	190	132
che	689	2	2	2	29	3	76	158	92	325
ol	645	493	46	11	7	3	0	15	22	48
ok	638	2	185	125	122	22	11	66	26	79
ot	618	8	140	90	124	43	8	67	35	103
ched	582	22	30	19	22	5	0	6	2	476
she	521	25	8	2	19	2	46	106	46	267
shed	457	16	13	9	9	2	0	0	1	407
aiin	456	452	0	0	0	0	0	0	0	4
ar	422	340	10	0	15	12	10	10	4	21
sh	411	12	18	3	14	6	45	154	73	86
s	407	184	78	30	40	8	3	27	16	21
or	403	313	32	17	6	8	0	11	2	14
qot	347	7	69	61	56	12	11	38	18	75
al	320	251	4	3	5	8	6	9	6	28
qokee	300	0	1	0	1	1	12	9	7	269
dar	289	257	2	0	2	7	1	1	2	17
qokeed	287	12	1	2	3	0	1	0	0	268
qoked	264	7	3	4	3	2	0	1	0	244
r	254	78	72	24	16	14	2	20	17	11
cth	234	2	9	4	7	1	18	53	38	102
k	225	3	63	46	22	8	4	36	21	22
chee	208	1	2	0	2	0	12	9	14	168
chd	206	7	16	8	18	10	1	2	8	136
okee	193	0	1	0	2	2	13	15	9	151
qoke	191	0	0	3	3	0	28	46	15	96
shee	176	13	0	1	1	0	3	13	9	136
oke	176	1	1	0	10	2	27	57	19	59
q	165	0	2	0	0	0	14	131	15	3
l	164	46	11	5	7	5	3	37	38	12
oted	158	1	3	2	3	3	0	2	1	143
otar	146	134	0	1	2	3	1	0	0	5
chckh	144	1	3	0	4	1	1	2	2	130
qokar	144	141	0	0	0	2	0	0	0	1
otee	143	0	0	0	2	2	10	7	4	118
ote	142	1	1	1	6	0	34	34	11	54
oked	128	2	3	3	6	2	1	0	2	109
okar	126	113	1	0	4	1	0	1	0	6
lched	119	6	0	0	1	2	0	0	0	110
t	118	2	29	13	17	5	6	19	11	16
lk	115	1	45	33	4	7	1	4	4	16
yt	110	0	32	10	14	11	6	6	9	22
okeed	107	3	1	2	3	1	0	0	0	97
oteed	105	8	0	2	2	0	0	0	0	93
qoted	101	3	3	1	3	0	0	1	2	88
olk	101	0	29	31	11	6	0	4	2	18
chek	99	3	7	7	12	1	3	3	1	62
sho	94	89	4	0	0	0	0	0	0	1
y	93	90	1	0	1	0	0	1	0	0
yk	93	3	33	8	15	5	0	8	6	15
od	89	5	47	16	10	3	0	1	7	0
chok	88	4	14	10	8	3	2	4	6	37
ain	87	84	0	0	0	1	0	0	0	2
sheed	87	6	0	0	1	0	0	0	0	80
chcth	86	2	1	0	2	2	3	0	1	75
am	85	83	0	0	0	1	0	0	0	1
cho	83	59	5	0	1	0	1	2	2	13
ckh	82	0	3	1	4	3	4	22	9	36
dair	81	70	0	0	3	2	3	0	0	3
qokch	80	1	1	1	0	0	2	16	5	54
air	78	72	0	0	1	1	2	1	0	1
otch	78	1	1	0	2	5	4	17	9	39
o	77	49	14	4	2	1	0	0	2	5
char	74	65	0	2	0	3	0	0	0	4
kee	70	0	0	0	0	0	8	12	8	42
cheo	70	64	2	0	1	0	0	0	0	3
qod	70	7	39	11	7	3	0	1	2	0
kch	69	0	0	1	1	1	6	18	14	28
chot	68	3	7	4	9	4	0	6	4	31
qoteed	67	2	1	0	0	0	0	0	0	64
qo	66	22	17	4	4	0	1	4	8	6
ke	64	0	0	0	0	0	22	19	9	14
sar	63	54	1	1	1	1	0	1	0	4
qotch	63	0	1	1	0	1	3	11	3	43
cheed	63	2	4	0	0	0	0	0	0	57
chk	63	1	15	12	13	2	0	3	1	16
cthe	61	0	0	0	0	0	6	10	5	40
qotar	60	59	0	0	0	0	0	0	0	1
shckh	59	0	1	0	0	0	1	1	1	55
qokchd	59	5	0	1	0	0	0	0	0	53
shek	58	8	2	5	3	2	1	1	1	35
keed	57	1	0	2	3	0	0	0	0	51
ykee	56	0	0	0	0	1	7	6	0	42
lche	56	0	0	0	2	2	3	6	2	41
opched	56	2	4	0	1	0	0	0	0	49
kar	56	50	0	0	1	0	2	0	0	3
okch	55	0	2	0	2	0	2	10	12	27
dal	55	0	3	0	5	6	0	7	8	26
chod	52	7	33	5	5	0	0	2	0	0
shd	52	6	1	0	3	0	0	1	1	40
qote	51	0	0	0	2	0	12	11	5	21
sheo	51	47	0	0	0	0	0	0	1	3
lkee	51	0	0	0	1	0	5	4	2	39
qotee	50	0	0	0	1	0	6	5	0	38
dch	48	0	1	1	1	1	1	9	12	22
chear	47	46	0	0	0	0	0	0	0	1
checkh	47	0	0	0	0	0	0	2	0	45
lkeed	46	3	0	1	0	0	0	1	1	40
