section	root	n	P	V	C	A	V_over_PV
Astronomical/Zodiac	a	293	279	14	0	0	0.04778156996587031
Astronomical/Zodiac	e	42	22	20	0	0	0.47619047619047616
Biological	a	145	141	4	0	0	0.027586206896551724
Biological	e	12	3	9	0	0	0.75
Cosmological	a	162	159	3	0	0	0.018518518518518517
Cosmological	e	3	1	2	0	0	0.6666666666666666
Herbal	a	372	360	12	0	0	0.03225806451612903
Herbal	e	49	29	20	0	0	0.40816326530612246
Pharmaceutical	a	125	118	7	0	0	0.056
Pharmaceutical	e	25	10	15	0	0	0.6
Recipes	a	860	835	25	0	0	0.029069767441860465
Recipes	e	20	6	14	0	0	0.7
Unknown	a	8	8	0	0	0	0.0
