affix	type	class	confidence	total_freq
f	prefix	P3	Medium	118
y	prefix	P1	High	1516
sh	prefix	P3	Medium	3223
k	prefix	P2	High	922
s	prefix	P3	Medium	1088
ck	prefix	P1	High	207
ch	prefix	P1	High	5976
d	prefix	P2	High	3340
r	prefix	P3	Medium	409
t	prefix	P3	Medium	972
ol	prefix	P3	Medium	1069
kch	prefix	P3	Medium	233
ych	prefix	P1	High	241
p	prefix	P3	Medium	542
dch	prefix	P3	Medium	285
l	prefix	P3	Medium	1313
qok	prefix	P1	High	3094
s	suffix	S0	Low	1048
al	suffix	S2	Low	1159
r	suffix	S0	Low	2888
aiin	suffix	S2	Low	1756
l	suffix	S0	Low	2711
y	suffix	S0	Low	3079
dy	suffix	S2	Low	2481
ar	suffix	S0	Low	1482
e	suffix	S3	Medium	38
n	suffix	S0	Low	972
d	suffix	S0	Low	561
iin	suffix	S2	Low	2432
eey	suffix	S3	Medium	1130
oty	suffix	S1	High	102
hy	suffix	S0	Low	1262
ey	suffix	S3	Medium	2017
ol	suffix	S0	Low	1864
chy	suffix	S0	Low	545
ody	suffix	S2	Low	901
ain	suffix	S2	Medium	900
or	suffix	S2	Medium	1180
m	suffix	S0	Low	580
k	suffix	S0	Low	59
ee	suffix	S3	Medium	9
h	suffix	S0	Low	45
he	suffix	S3	Medium	13
am	suffix	S0	Low	465
ot	suffix	S1	High	14
otchy	suffix	S1	High	68
otol	suffix	S1	High	51
che	suffix	RARE	Low	2
t	suffix	S0	Low	34
ch	suffix	S0	Low	12
otchor	suffix	S1	High	15
edy	suffix	S2	Low	2772
